,company,job_title,location,salary,summary,est_salary
0,Accenture,Artificial Intelligence- Virtual Assistant & NLP Data Scient...,Sydney NSW,"$110,000 - $150,000 a year","We have opportunities in both Sydney and Melbourne as a Virtual Assistant/NLP Data Scientist, salary ranging $110,000-$150,000;...",80000
1,Black Cat Data,Junior Data Scientist,Sydney NSW,0,"Relevant data professional certification. Ability to provide written and oral interpretation of highly specialized terms and data, and ability to present this...",80000
2,Rokt,Data Scientist - Analytics,Surry Hills NSW,0,Rokt is seeking a Data Scientist in Sydney to join its growing data science team. You will collaborate with a team of Data Scientists and our Sydney based...,80000
3,Allianz,DATA SCIENTIST,Melbourne VIC,0,As a skilled data scientist you will be working closely with the team to upskill and share predictive modelling methodology and reasoning....,80000
4,Freelancer.com,Data Scientist,Sydney NSW,"$65,000 - $110,000 a year","Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....",80000
5,Nearmap - AU,Data Scientist,Barangaroo NSW,0,"At Nearmap, we're growing our data science team, and we’re after a data scientist / machine learning engineer who’s got enough experience to just come in and...",80000
6,IBM,Data Scientist - 1year Fixed Term Contract - Sydney,Sydney NSW,"$157,080 a year","Data Scientist - 1year Fixed Term Contract - Sydney. Applying the transformations on RDD, Data Frames after reading the raw data and transformed data to be...",80000
7,International Institute of Data & Analytics,Junior Data Analyst/Scientist,Sydney NSW,0,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",80000
8,Black Swallow Boutique,Data Scientist,Alexandria NSW,0,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",80000
9,Fortune Select,Data Scientist,Sydney NSW,0,Experience using and maintaining AWS environments for data analysis. 3+ years proven career history in Data science & engineering....,80000
10,ROKT,Data Scientist - Analytics,Sydney NSW,0,Rokt is seeking a Data Scientist in Sydney to join its growing data science team. You will collaborate with a team of Data Scientists and our Sydney based...,80000
11,ResMed,Data Scientist,Sydney NSW,0,"You will have exceptional data and data structures experience. Your background might be in Data Science, Applied Mathematics, Actuarial Science or Econometrics...",80000
12,Genworth Australia,Data Scientist,Sydney NSW,0,"This Data Scientist position will report into the Data Management Office (DMO). Knowledge of big data technologies – e.g. Hadoop, Spark ecosystem, NoSQL, data...",80000
13,TILTSTA,"Data Scientist, Google Analytics / Mixpanel expert",Australia,"$70,000 - $110,000 a year",• Advanced skills in mobile app / website analytics • Can produce easy to understand reports easily conveying information to relevant stakeholders ie....,80000
14,Black Cat Data,Data Scientist (NLP/Text Analytics),Sydney NSW,0,Relevant data professional certification. Data mining using state-of-the-art methods. Black Cat Data is looking for data professionals to work on our client and...,80000
15,Ignite,Data Analysis,Canberra ACT,$100 an hour,Undertake Data Analysis aimed at ensuring the integrity and quality of the data used for reporting in the Data Exchange project....,80000
16,C3 IoT,Data Scientist (Australia),Sydney NSW,0,"In this capacity, you will participate in the definition of new analytics capabilities able to provide our customers with the information they need to make...",80000
17,SafetyCulture,Data Scientist,Sydney NSW,0,"Work with two Data Scientists, Software Engineers, Data Engineer, Data Infrastructure Engineer, Researcher and Product Manager to turn petabyte’s of data into...",80000
18,QuantumBlack,Data Scientist (Sydney),Sydney NSW,0,"Work in a multi-disciplinary environment mixing highly skilled people in data science, data engineering and design....",80000
