,Company,Overall,Work/Life Balance ,Salary/Benefits ,Job Security/Advancement ,Management ,Culture 
0,Accenture,4.0,3.7,3.7,3.8,3.6,3.9
1,Black Cat Data,3.8,3.6,3.5,3.3,3.3,3.4
2,ROKT,4.2,4.1,3.7,3.5,3.9,3.9
3,Allianz,3.9,3.9,3.5,3.5,3.5,3.8
4,Freelancer.com,3.7,3.5,3.9,2.9,3.1,3.5
5,IBM,4.0,4.5,4.0,3.0,4.0,4.5
6,International Institute of Data & Analytics,4.3,4.4,3.8,4.1,4.2,4.3
7,Black Swallow Boutique,5.0,3.9,3.7,3.6,3.0,4.6
8,Fortune Select,4.3,3.7,3.5,3.1,3.2,3.4
9,ROKT,3.6,3.8,3.9,3.3,3.5,3.8
10,ResMed,3.9,3.7,3.3,3.4,3.4,3.6
11,Genworth Australia,3.9,3.8,3.7,3.3,3.1,3.5
12,Tiltsta,3.8,3.4,3.6,3.8,3.7,3.8
13,Ignite,4.0,3.7,3.5,3.0,3.3,3.3
14,C3 IoT,3.6,4.3,4.3,3.8,3.8,4.5
15,SAFETYCULTURE,4.5,4.6,4.9,4.2,4.1,4.3
16,QuantumBlack,4.5,3.9,4.1,3.5,3.6,4.0
17,THE ICONIC,4.2,3.7,3.5,3.6,3.4,3.6
18,OpenText,3.9,3.5,3.6,3.8,3.7,3.9
19,HDR,4.0,3.4,3.2,2.9,3.5,3.7
20,CBRE Asia Pacific,3.8,3.5,2.5,2.0,4.5,4.5
21,Teradata,4.0,2.3,2.7,1.3,2.0,2.3
22,Sirius People,2.0,4.4,4.0,3.8,4.6,4.6
23,KPMG,4.6,4.2,3.9,3.2,3.9,4.0
24,QBE,4.2,3.8,4.2,4.1,4.1,4.1
25,BCG Digital Ventures,4.6,3.7,4.2,3.2,3.4,3.6
26,Optimum Patient Care,3.9,4.4,4.8,5.0,4.4,4.8
27,D2D CRC,4.6,3.8,3.5,3.4,3.4,3.7
28,Atlassian,3.9,3.0,2.0,4.0,3.0,3.0
29,Microsoft,3.5,3.7,3.0,2.3,2.7,3.7
30,Woolworths Supermarket,4.0,4.7,4.3,3.3,3.7,4.7
31,EY,3.7,3.8,2.6,3.0,3.2,3.2
32,Morgan McKinley,4.3,4.6,4.6,4.3,4.3,4.8
33,Office of Environment and Heritage,1.0,3.1,3.3,3.1,3.2,3.4
34,Sportsbet.com.au,3.8,3.5,4.0,3.5,4.0,3.5
35,Victor Chang Cardiac Research Institute,4.6,4.2,4.2,3.2,4.2,4.3
36,CSIRO,3.4,4.0,4.1,3.6,3.7,4.0
37,Keegan Adams,4.0,3.9,3.6,3.3,3.6,3.8
38,Alibaba,4.2,3.9,3.9,3.3,3.6,3.6
39,Fortescue Metals Group,4.2,5.0,4.4,4.2,4.4,4.2
40,Michael Bailey Associates Pty Ltd,4.0,4.8,3.0,3.4,3.8,4.0
41,Alloc8 Recruitment Solutions Pty Ltd,3.9,3.6,3.5,3.0,3.2,3.5
42,Coupa Software,3.6,3.8,3.3,3.1,3.5,3.6
43,Omnicom Group,4.5,4.5,4.5,4.5,4.5,4.5
44,BI & DW,4.2,3.6,3.7,3.1,3.3,3.5
45,Salt Recruitment,3.7,3.8,3.8,3.6,3.5,3.7
46,Culture Amp,3.9,2.6,2.9,2.5,2.5,2.6
47,Clemenger Group,4.0,3.7,3.2,3.2,3.3,3.7
48,APN Outdoor,4.5,4.0,3.0,2.5,3.0,3.5
49,Evolution Recruitment Solutions,3.7,4.3,3.5,3.5,3.1,2.8
50,Mpire Network,4.0,3.8,3.0,2.9,3.4,3.7
51,Greythorn Australia Old,4.0,3.2,3.0,2.8,2.6,3.0
52,CONTINO,2.9,4.0,3.9,3.7,3.9,4.1
53,Triggr,3.7,3.9,4.1,3.6,4.1,4.2
54,Xero,3.5,4.3,4.0,4.0,4.8,4.5
55,Xpand Group,3.9,4.3,4.0,3.3,4.7,4.3
56,GREYTHORN AUSTRALIA,3.5,4.3,3.3,3.3,3.7,4.0
57,borderless talent,3.0,3.8,4.2,3.4,3.4,3.7
58,Profusion Group,4.3,3.5,3.3,3.1,3.4,3.5
59,Australian Securities Exchange (ASX),4.2,4.3,4.7,4.7,5.0,5.0
60,Medius Health,4.8,3.9,4.0,4.0,3.6,4.0
61,Ethos BeathChapman,4.7,3.7,3.3,3.2,3.5,3.6
62,Michael Page,3.7,3.8,3.7,2.9,3.4,3.5
63,Australian Recruiting Group,3.9,4.6,3.3,2.9,3.2,4.1
64,Greythorn,3.6,3.5,3.7,3.7,3.6,3.8
65,Human Capital Management Australia,5.0,3.6,3.6,3.3,3.4,3.6
66,GlaxoSmithKline,4.1,3.7,3.5,3.0,3.3,3.5
67,Bluefin Resources,3.9,3.9,3.9,3.3,3.6,3.8
68,Onset Group Pty Ltd,4.1,4.0,3.0,3.5,3.5,3.0
69,Cbus Super,4.4,4.1,3.8,3.6,3.7,4.0
70,FireSoft Consulting,4.0,3.6,3.4,2.8,3.3,3.4
71,Chandler Macleod,3.8,3.6,3.3,3.1,3.3,3.6
72,ASC Pty Ltd,5.0,3.8,3.8,3.4,3.5,3.7
73,Envato,3.7,4.0,4.0,3.7,3.9,4.4
74,Apex Asset Management,4.0,3.2,4.0,3.0,3.0,3.6
75,Golder Associates,3.5,3.7,3.3,3.6,3.4,3.6
76,T+O+M Executive,4.2,3.9,4.2,3.4,3.6,3.8
77,Correlate Resources,3.6,3.9,3.9,3.5,3.6,3.9
78,Kelly Services,3.7,4.2,4.1,3.1,3.6,3.5
79,NSW Health Service,3.9,4.3,4.2,3.6,3.7,3.8
80,Peoplebank,4.2,4.4,4.4,3.4,3.4,3.2
81,AECOM,3.7,4.8,5.0,5.0,4.8,5.0
82,Prospa,5.0,4.2,4.0,3.6,3.8,4.2
83,Macquarie Group Limited,3.8,3.3,4.0,3.3,3.2,3.4
84,Shelde,4.1,3.4,3.8,3.2,3.4,3.3
85,CSL Behring,4.1,3.9,3.4,3.6,3.6,3.7
86,Hydrogen Group,4.1,3.9,3.5,3.6,3.6,3.8
87,Youman Mind Over Data,4.3,3.8,3.5,3.4,3.0,3.6
88,Mintel Group,4.4,4.5,4.5,4.5,4.8,4.8
89,THEMESOFT,5.0,4.0,3.7,2.7,3.2,4.2
90,Mintel,4.3,3.5,3.8,3.5,4.0,4.0
91,Link Group,3.8,4.0,3.8,3.5,3.6,3.9
92,General Assembly,3.3,4.5,4.0,4.0,5.0,4.5
93,Susquehanna International Group,4.1,3.7,3.8,3.2,3.5,3.7
94,Talent International,3.9,3.2,3.3,2.9,2.9,3.0
95,bar360,3.6,3.8,3.0,2.8,3.0,3.3
96,Daisee,2.0,3.7,3.9,3.5,3.5,3.7
97,Aurec Human Capital Group,4.5,5.0,5.0,4.0,1.0,1.0
98,Tyro,4.0,3.0,3.1,2.9,2.8,2.9
99,Aurec,4.1,3.8,3.7,3.3,3.5,3.7
100,Government of South Australia,3.9,3.7,3.5,3.6,3.4,3.6
101,Talent Insights Group,4.1,3.8,3.9,3.1,3.3,3.8
102,Rio Tinto,4.5,4.0,3.8,4.0,3.9,4.4
103,MINDCLOUD CONSULTANTS,3.9,3.1,3.4,2.4,2.1,2.6
104,CRU International Australia,3.3,4.6,4.4,4.0,4.1,4.1
105,Collabera,3.5,3.3,4.0,3.5,3.6,3.8
106,Clicks IT Recruitment,3.9,3.6,3.5,3.2,3.3,3.5
107,Arup,5.0,3.9,3.3,3.3,3.2,3.7
108,CSK Nexus Pty Ltd,4.0,3.3,4.7,3.0,3.3,3.0
109,FulSearch,3.2,3.5,3.1,2.9,3.0,3.2
110,Compas PTY,3.9,3.8,3.9,3.5,3.6,3.8
111,CSIRO'S DATA61 EMPLOI,3.9,4.0,3.6,3.7,4.1,4.1
112,AustCorp Executive,3.7,4.0,4.1,3.6,3.7,4.0
113,Manpower,4.2,4.0,4.2,3.7,3.7,4.2
114,Queensland Government,2.8,3.8,3.6,2.8,3.0,3.3
115,Infinity pro,4.5,2.7,2.7,2.7,3.0,2.8
116,RedBubble,4.1,3.3,3.1,3.1,3.1,3.4
117,Deloitte,3.7,4.1,4.0,3.3,3.5,3.9
118,The Walter and Eliza Hall Institute of Medical Res...,4.0,3.9,3.7,3.4,3.4,3.9
119,JLL,3.8,3.9,4.1,3.7,3.8,4.0
120,ARQ Group,5.0,3.7,3.5,3.3,3.4,3.4
121,Morgan Consulting,3.3,3.3,3.6,3.0,2.9,2.9
122,Nine Entertainment,3.3,4.5,3.5,4.5,4.5,4.0
123,Embedded Search & Selection,3.9,4.3,4.3,3.3,3.6,3.9
124,WSP,4.5,4.5,4.2,3.8,4.2,3.7
125,SNC-Lavalin,4.2,3.7,3.7,3.5,3.4,3.6
126,Zone IT Solutions,4.2,3.6,3.7,3.2,3.3,3.5
127,Full Circle Partners,3.3,3.8,3.8,3.3,3.4,3.6
128,Agilent,3.5,4.4,4.4,4.0,4.0,4.2
129,Marshall Mcadam,3.5,4.5,4.5,4.0,4.5,5.0
130,Experis,4.1,3.1,3.8,3.4,3.1,3.1
131,Hudson,4.0,4.2,3.8,4.0,4.0,4.2
132,Credit Suisse,4.1,4.6,4.9,4.9,4.8,4.9
133,FourQuarters,3.7,3.1,3.0,2.8,2.8,3.1
134,Charterhouse Partnership,3.0,3.5,2.8,2.8,3.5,3.5
135,Akuna Capital,3.4,4.0,3.9,3.6,4.0,4.2
136,Star of the Sea College,4.0,3.6,3.5,3.4,3.4,3.5
137,Capgemini,5.0,3.8,3.9,3.4,3.6,3.7
138,BHP Billiton,5.0,3.0,3.0,3.1,2.9,3.3
139,Ericsson,4.2,3.6,3.7,3.2,3.2,3.5
140,inDmand,4.3,3.9,4.0,3.6,3.7,4.1
141,First People Recruitment Solutions,3.8,3.7,3.7,3.2,3.4,3.6
142,University of Southern Queensland,2.0,4.0,3.0,4.0,3.5,4.5
143,Public Health Association Australia,3.8,3.8,3.8,3.7,3.4,3.9
